Books,,,,,,
ISBN,Title,Author(s),Publisher,Year,Price,Category
324113641,Introductory Econometrics: A Modern Approach,Jeffrey M. Wooldridge ,South-Western College Pub,2002,$107.95 ,Accounting & Finance
345336895,Broca's Brain: Reflections on the Romance of Science,Carl Sagan ,Ballantine Books,1993,$6.99 ,Science
345376595,Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan ,Ballantine Books ,1997,$12.95 ,Science
345409469,The Demon-Haunted World: Science As a Candle in the Dark,Carl Sagan ,Ballantine Books ,1997,$14.95 ,Science
345452089,The Vampire's Violin,Michael Romkey ,Del Rey,2003,$6.99 ,Horror
373218192,Engaging The Enemy,Nora Roberts ,Silhouette,2003,$7.50 ,Literature & Fiction
373218257,Love By Design,Nora Roberts ,Harlequin,2003,$14.95 ,Literature & Fiction
373272839,Letters to Kelly,Suzanne Brockmann,Harlequin,2003,$4.75 ,Romance
375508325,Cosmos,Carl Sagan ,Random House,2002,$35.00 ,Science
375703764,House of Leaves,Mark Z. Danielewski ,Pantheon Books,2000,$19.95 ,Horror
385494149,Enduring Love,Ian McEwan ,Anchor Books,1999,$13.00 ,Literature & Fiction
385494246,Amsterdam,Ian McEwan ,Anchor Books,1999,$12.00 ,Literature & Fiction
385494327,Black Dogs,Ian McEwan ,Anchor Books,1999,$14.00 ,Literature & Fiction
385504470,Lullaby: A Novel,Chuck Palahniuk ,Doubleday,2002,$17.47 ,Horror
393318486,How the Mind Works,Steven Pinker ,W.W. Norton & Company,1999,$17.95 ,Science
393319407,The Diversity of Life,Edward Osborne Wilson ,W.W. Norton & Company,1999,$16.95 ,Science
394739698,A Field Guide to American Houses,Virginia McAlester,Random House Trade Paperbacks,1984,$24.95 ,Home Design
394739698,,Lee McAlester,,,,
399149392,Chesapeake Blue,Nora Roberts ,Putnam Pub Group,2002,$25.95 ,Literature & Fiction
399149848,Birthright,Nora Roberts ,Putnam Pub Group,2003,$25.95 ,Literature & Fiction
425188361,Cerulean Sins,Laurell K. Hamilton ,Berkley Pub Group,2003,$16.07 ,Literature & Fiction
440237556,The Dark Highlander,Karen Marie Moning,Dell Pub Co,2002,$6.99 ,Romance
446527793,The Guardian,Nicholas Sparks ,Warner Books,2003,$24.95 ,Literature & Fiction
446606812,Message in a Bottle,Nicholas Sparks ,Warner Books,1999,$7.50 ,Literature & Fiction
446608955,A Walk to Remember,Nicholas Sparks ,Warner Books,2000,$6.99 ,Literature & Fiction
446676098,The Notebook,Nicholas Sparks ,Warner Books,1999,$12.95 ,Literature & Fiction
471200247,The Data Warehouse Toolkit: The Complete Guide to Dimensional Modeling,Ralph Kimball,John Wiley & Sons,2002,$50.00 ,Computer
471200247,,Margy Ross,,,,
471286168,"Architecture: Form, Space, and Order",Francis D. K. Ching,John Wiley & Sons,1996,$39.95 ,Home Design
471288217,A Visual Dictionary of Architecture,Francis D. K. Ching,John Wiley & Sons,1996,$39.95 ,Home Design
471358983,Building Construction Illustrated,Francis D. K. Ching,John Wiley & Sons,2000,$40.00 ,Home Design
471358983,,Cassandra Adams,,,,
471363049,Intermediate Accounting,Donald E. Kieso,John Wiley & Sons,2001,$139.20 ,Accounting & Finance
471363049,,Jerry J. Weygandt,,,,
471363049,,Terry D. Warfield,,,,
471391123,Beyond Coso : Internal Control to Enhance Corporate Governance,Steven J. Root ,John Wiley & Sons,2000,$50.00 ,Accounting & Finance
517576600,Color: Natural Palettes for Painted Rooms,Donald Kaufman,Clarkson N. Potter,1992,$50.00 ,Home Design
517576600,,Taffy Dahl,,,,
517576600,,Laurel Graeber,,,,
517576600,,Tina Freeman ,,,,
596004478,Google Hacks,Tara Calishain,O'Reilly & Associates,2003,$24.95 ,Computer
596004478,,Rael Dornfest,,,,
609610570,Execution: The Discipline of Getting Things Done,Larry Bossidy,Crown Pub,2002,$27.50 ,Reference
609610570,,Ram Charan,,,,
609610570,,Charles Burck,,,,
670031518,The Blank Slate: The Modern Denial of Human Nature,Steven Pinker,Viking Press,2002,$27.95 ,Science
671004107,Contact,Carl Sagan ,Pocket Books,1997,$7.99 ,Science
679450785,The Future of Life,Edward Osborne Wilson ,Knopf,2002,$22.00 ,Science
679722955,The Names,Don DeLillo ,Vintage Books,1989,$11.20 ,Literature & Fiction
684843285,ON FOOD AND COOKING,Harold McGee,Fireside,1997,$22.00 ,Science
684848155,UNDERWORLD: A NOVEL,Don DeLillo ,Scribner Paperback Fiction,1998,$16.00 ,Literature & Fiction
735712123,MySQL,Paul DuBois,Addison-Wesley Publishing,2003,$34.99 ,Computer
735712360,The Photoshop Book for Digital Photographers,Scott Kelby ,New Riders Publishing,2003,$39.99 ,Computer
735712379,Photoshop 7 Down & Dirty Tricks,Scott Kelby ,New Riders Publishing,2002,$39.99 ,Computer
735713170,Mac OS X v. 10.2 Jaguar Killer Tips,Scott Kelby ,New Riders Publishing,2002,$29.99 ,Computer
738206679,Linked: The New Science of Networks,Albert-L szl¢ Barab si ,Perseus Publishing,2002,$26.00 ,Science
743206061,The Second Time Around,Mary Higgins Clark,Simon & Schuster,2003,$26.00 ,Accounting & Finance
743206061,The Second Time Around,Mary Higgins Clark ,Simon & Schuster,2003,$26.00 ,Literature & Fiction
743222008,The Vanished Man: A Lincoln Rhyme Novel,Jeffery Deaver,Simon & Schuster,2003,$25.00 ,Literature & Fiction
743244249,Cosmopolis: A Novel,Don DeLillo,Scribner,2003,$25.00 ,Literature & Fiction
743455967,On Writing,Stephen King ,Pocket Books,2002,$7.99 ,Horror
743457358,Everything's Eventual: 14 Dark Tales,Stephen King,Pocket Books,2002,$7.99 ,Horror
743467523,Dreamcatcher,Stephen King,Pocket Books,2003,$7.99 ,Horror
782140114,Access 2002 Developer's Handbook Set,Paul Litwin,Sybex,2001,$69.99 ,Computer
782140114,,Ken Getz,,,,
782140114,,Mike Gunderloy,,,,
782140661,OCP: Oracle9i Certification Kit,Chip Dawes,Sybex,2002,$104.97 ,Computer
782140661,,Biju Thomas,,,,
782140661,,Doug Stuns,,,,
782140661,,Matthew Weishan,,,,
782140661,,Joseph C. Johnson,,,,
787960756,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,Jossey-Bass,2002,$13.20 ,Accounting & Finance
805317554,Fundamentals of Database Systems ,Ramez A. Elmasri,Addison-Wesley Publishing,1999,$95.00 ,Computer
805317554,,Shamkant B. Navathe,,,,
865659982,Composers' Houses,Gerard Gefen,Vendome Pr,1998,$50.00 ,Home Design
865659982,,Christine Bastin,,,,
865659982,,Jacques Evrard,,,,
972263608,Creating Documents with BusinessObjects 5.1,Robert D. Schmidt,"Schmidt Ink, Inc.",2002,$99.00 ,Computer
1558605525,Data Mining: Practical Machine Learning Tools and Techniques with Java Implementations,Ian H. Witten,Morgan Kaufmann,1999,$49.95 ,Computer
1558605525,,Eibe Frank,,,,
1558606432,Persuasive Technology: Using Computers to Change What We Think and Do,B. J. Fogg ,Morgan Kaufmann,2002,$34.95 ,Computer
1561584029,The Complete Illustrated Guide to Furniture and Cabinet Construction,Andy Rae ,Taunton Pr,2001,$39.95 ,Home Design
1561586196,Building a Shed,Joseph Truini ,Taunton Pr,2003,$19.95 ,Home Design
1565924916,Ldap System Administration,Gerald Carter ,O'Reilly & Associates,2003,$39.95 ,Computer
1579550088,A New Kind of Science,Stephen Wolfram ,"Wolfram Media, Inc.",2002,$44.95 ,Science
1579902944,Choosing & Using Hand Tools,Andy Rae ,Lark Books,2002,$19.95 ,Home Design
1586851322,Prefab,Bryan Burkhart,Gibbs Smith Publisher,2002,$39.95 ,Home Design
1586851322,,Allison Arieff,,,,
1586851357,Cabins & Camps,Ralph R. Kylloe ,Gibbs Smith Publisher,2002,$60.00 ,Home Design
1590520734,The Rescuer: The O'Malley Series,Dee Henderson,Multnomah Publishers Inc.,2003,$12.99 ,Romance
1861004486,Professional SQL Server 2000 Programming,Rob Vieira,Wrox Press Inc,2000,$41.99 ,Computer
1880418568,Wolves of the Calla ,Stephen King,"Donald M. Grant Publisher, Inc.",2003,$35.00 ,Horror
1880418568,,Bernie Wrightson,,,,
038572179X,Atonement,Ian McEwan ,Anchor Books,2003,$14.00 ,Literature & Fiction
067463442X,On Human Nature,Edward Osborne Wilson ,Harvard Univ Pr,1988,$18.95 ,Science
067976867X,Consilience: The Unity of Knowledge,Edward Osborne Wilson ,Random House,1999,$15.00 ,Science
156158648X,The New City Home: Smart Solutions for Metro Living,Leslie Plummer Clagett ,Taunton Pr,2003,$24.95 ,Home Design
